ReturnKey,ReturnDate,OrderDate,SalesOrderNumber,CustomerKey,ProductKey,ReturnQuantity,UnitPrice,ReturnAmount
81,11/6/2013,10/29/2013,SO69406,361,562,2,1430.442,2860.884
82,12/12/2013,11/29/2013,SO71835,621,562,2,1430.442,2860.884
83,10/10/2013,9/29/2013,SO67266,146,590,2,461.694,923.388
84,12/17/2013,11/29/2013,SO71886,109,588,2,461.694,923.388
85,11/19/2011,10/29/2011,SO46105,218,340,2,419.459,838.918
86,8/22/2011,8/1/2011,SO45296,145,215,2,20.187,40.373
87,2/18/2013,1/28/2013,SO51726,199,497,2,602.346,1204.692
88,1/18/2013,12/28/2012,SO51146,505,492,2,602.346,1204.692
89,11/13/2013,10/29/2013,SO69406,361,499,2,602.346,1204.692
90,2/6/2012,1/29/2012,SO47066,218,323,2,469.794,939.588
91,1/14/2013,12/28/2012,SO51146,505,496,2,602.346,1204.692
92,2/12/2012,1/29/2012,SO47066,218,370,2,1466.01,2932.02
93,2/17/2012,1/29/2012,SO47066,218,329,2,469.794,939.588
94,2/12/2012,1/29/2012,SO47066,218,325,2,469.794,939.588
95,8/19/2012,7/31/2012,SO49136,343,377,2,1308.938,2617.875
96,4/11/2013,3/30/2013,SO55286,253,434,2,356.898,713.796
97,11/13/2013,10/29/2013,SO69406,361,217,2,20.994,41.988
98,2/7/2011,1/29/2011,SO43866,289,218,2,5.7,11.4
99,3/11/2011,3/1/2011,SO44126,20,218,2,5.7,11.4
100,2/11/2012,1/29/2012,SO47066,218,435,2,324.453,648.905
101,5/8/2013,4/30/2013,SO57026,361,586,2,445.41,890.82
102,10/13/2012,9/28/2012,SO49826,146,221,2,20.187,40.373
103,3/21/2013,2/28/2013,SO53576,542,512,2,218.454,436.908
104,10/7/2013,9/29/2013,SO67266,146,512,2,218.454,436.908
105,12/7/2013,11/29/2013,SO71836,254,512,2,218.454,436.908
106,11/15/2013,10/29/2013,SO69406,361,572,2,445.41,890.82
107,10/19/2013,9/29/2013,SO67266,146,589,2,461.694,923.388
108,12/14/2013,11/29/2013,SO71886,109,589,2,461.694,923.388
109,12/14/2013,11/29/2013,SO71886,109,359,2,1376.994,2753.988
110,3/9/2013,2/28/2013,SO53576,542,599,2,323.994,647.988
111,12/6/2013,11/29/2013,SO71836,254,599,2,323.994,647.988
112,5/16/2013,4/30/2013,SO57136,433,234,2,29.994,59.988
113,3/15/2013,2/28/2013,SO53576,542,298,2,809.76,1619.52
114,10/16/2013,9/29/2013,SO67266,146,298,2,809.76,1619.52
115,8/15/2011,8/1/2011,SO45336,326,351,2,2024.994,4049.988
116,12/11/2013,11/29/2013,SO71836,254,306,2,809.76,1619.52
117,8/21/2011,8/1/2011,SO45296,145,344,2,2039.994,4079.988
118,3/17/2011,3/1/2011,SO44126,20,350,2,2024.994,4049.988
119,8/16/2011,8/1/2011,SO45336,326,350,2,2024.994,4049.988
120,8/18/2011,8/1/2011,SO45296,145,350,2,2024.994,4049.988
121,2/9/2012,1/29/2012,SO47066,218,439,2,780.818,1561.636
122,3/16/2011,3/1/2011,SO44126,20,345,2,2039.994,4079.988
123,2/6/2012,1/29/2012,SO47066,218,239,2,780.818,1561.636
124,2/7/2012,1/29/2012,SO47066,218,242,2,780.818,1561.636
125,1/8/2013,12/28/2012,SO51146,505,570,2,334.058,668.115
126,5/21/2012,4/30/2012,SO47986,236,364,2,647.994,1295.988
127,5/11/2013,4/30/2013,SO57026,361,564,2,1430.442,2860.884
128,11/7/2013,10/29/2013,SO69406,361,564,2,1430.442,2860.884
129,2/16/2012,1/29/2012,SO47066,218,263,2,202.332,404.664
130,1/9/2013,12/28/2012,SO51146,505,574,2,1430.442,2860.884
131,5/7/2013,4/30/2013,SO57026,361,560,2,728.91,1457.82
132,1/13/2013,12/28/2012,SO51146,505,573,2,1430.442,2860.884
133,8/14/2013,7/31/2013,SO63156,199,576,2,1430.442,2860.884
134,3/21/2013,2/28/2013,SO53576,542,357,2,1391.994,2783.988
135,11/6/2013,10/29/2013,SO69406,361,578,2,728.91,1457.82
136,11/9/2013,10/29/2013,SO69406,361,577,2,728.91,1457.82
137,5/16/2012,4/30/2012,SO47986,236,289,2,744.273,1488.545
138,5/18/2012,4/30/2012,SO47986,236,294,2,744.273,1488.545
139,11/11/2012,10/28/2012,SO50206,236,297,2,736.146,1472.291
140,8/11/2011,8/1/2011,SO45296,145,307,2,722.595,1445.19
141,8/14/2012,7/31/2012,SO49136,343,331,2,469.794,939.588
142,8/15/2012,7/31/2012,SO49136,343,337,2,469.794,939.588
143,3/9/2013,2/28/2013,SO53576,542,353,2,1391.994,2783.988
144,3/15/2013,2/28/2013,SO53576,542,596,2,323.994,647.988
145,12/20/2013,11/29/2013,SO71886,109,361,2,1376.994,2753.988
146,1/9/2013,12/28/2012,SO51146,505,565,2,334.058,668.115
147,3/12/2013,2/28/2013,SO53576,542,513,2,218.454,436.908
148,4/10/2012,3/30/2012,SO47666,146,427,2,209.256,418.512
149,5/16/2012,4/30/2012,SO47986,236,427,2,209.256,418.512
150,2/18/2012,1/29/2012,SO47066,218,381,2,600.263,1200.525
151,5/12/2012,4/30/2012,SO47986,236,394,2,20.52,41.04
152,3/14/2013,2/28/2013,SO53576,542,398,2,26.724,53.448
153,1/7/2012,12/29/2011,SO46646,325,399,2,33.775,67.549
154,10/19/2012,9/28/2012,SO49826,146,399,2,33.775,67.549
155,10/14/2013,9/29/2013,SO67266,146,402,2,72.162,144.324
156,2/8/2012,1/29/2012,SO47066,218,407,2,65.602,131.204
157,1/10/2012,12/29/2011,SO46646,325,410,2,36.447,72.894
158,11/17/2012,10/28/2012,SO50206,236,410,2,36.447,72.894
159,5/21/2013,4/30/2013,SO57026,361,514,2,63.9,127.8
160,11/9/2013,10/29/2013,SO69406,361,514,2,63.9,127.8
161,12/6/2013,11/29/2013,SO71836,254,555,2,63.9,127.8
162,1/6/2013,12/28/2012,SO51146,505,554,2,54.942,109.884
163,2/17/2013,1/28/2013,SO51726,199,554,2,54.942,109.884
164,3/16/2013,2/28/2013,SO53576,542,515,2,16.272,32.544
165,10/9/2013,9/29/2013,SO67266,146,515,2,16.272,32.544
166,11/7/2013,10/29/2013,SO69406,361,559,2,12.144,24.288
167,5/18/2013,4/30/2013,SO57026,361,552,2,54.894,109.788
168,12/6/2013,11/29/2013,SO71836,254,552,2,54.894,109.788
169,11/6/2012,10/28/2012,SO50206,236,447,2,15,30
170,11/17/2012,10/28/2012,SO50206,236,454,2,35.994,71.988
171,5/13/2012,4/30/2012,SO47986,236,459,2,53.994,107.988
172,8/10/2012,7/31/2012,SO49136,343,460,2,53.994,107.988
173,4/8/2013,3/30/2013,SO55286,253,547,2,48.594,97.188
174,12/14/2013,11/29/2013,SO71886,109,543,2,37.254,74.508
175,5/10/2012,4/30/2012,SO47986,236,464,2,14.129,28.258
176,1/11/2013,12/28/2012,SO51146,505,523,2,31.584,63.168
177,2/5/2013,1/28/2013,SO51726,199,523,2,31.584,63.168
178,5/12/2013,4/30/2013,SO57026,361,523,2,31.584,63.168
179,5/16/2013,4/30/2013,SO57026,361,465,2,14.694,29.388
180,11/16/2012,10/28/2012,SO50206,236,466,2,14.129,28.258
181,3/9/2013,2/28/2013,SO53576,542,542,2,24.294,48.588
182,12/19/2013,11/29/2013,SO71836,254,592,2,112.998,225.996
183,12/8/2013,11/29/2013,SO71886,109,591,2,112.998,225.996
184,1/5/2013,12/28/2012,SO51136,253,606,2,323.994,647.988
185,4/9/2013,3/30/2013,SO55286,253,606,2,323.994,647.988
186,7/14/2013,6/30/2013,SO61266,668,605,2,323.994,647.988
187,5/9/2013,4/30/2013,SO57026,361,487,2,32.994,65.988
188,5/20/2013,4/30/2013,SO57136,433,487,2,32.994,65.988
189,11/14/2013,10/29/2013,SO69406,361,488,2,32.394,64.788
190,3/17/2013,2/28/2013,SO53576,542,593,2,338.994,677.988
191,2/7/2013,1/28/2013,SO51726,199,495,2,602.346,1204.692
192,10/18/2013,9/29/2013,SO67266,146,544,2,48.594,97.188
193,4/17/2012,3/30/2012,SO47666,146,224,2,5.187,10.373
194,1/16/2012,12/29/2011,SO46646,325,468,2,22.794,45.588
195,10/16/2012,9/28/2012,SO49826,146,468,2,22.794,45.588
196,11/12/2012,10/28/2012,SO50216,2,468,2,22.794,45.588
197,7/14/2013,6/30/2013,SO61266,668,482,2,5.394,10.788
198,12/15/2013,11/29/2013,SO71836,254,225,2,5.394,10.788
199,7/8/2013,6/30/2013,SO61256,325,474,2,41.994,83.988
200,7/10/2013,6/30/2013,SO61256,325,475,2,41.994,83.988
201,12/8/2013,11/29/2013,SO71836,254,475,2,41.994,83.988
202,11/16/2012,10/28/2012,SO50216,2,233,2,28.84,57.681
203,4/20/2012,3/30/2012,SO47666,146,236,2,28.84,57.681
204,5/17/2012,4/30/2012,SO47986,236,236,2,28.84,57.681
205,10/16/2012,9/28/2012,SO49866,200,236,2,28.84,57.681
206,11/7/2012,10/28/2012,SO50206,236,236,2,28.84,57.681
207,8/12/2011,8/1/2011,SO45296,145,232,2,28.84,57.681
208,1/8/2011,12/29/2010,SO43677,679,215,2,20.187,40.373
209,2/17/2011,1/29/2011,SO43907,342,212,2,20.187,40.373
210,2/18/2011,1/29/2011,SO43916,348,215,2,20.187,40.373
211,3/15/2011,3/1/2011,SO44085,155,223,2,5.187,10.373
212,3/12/2011,3/1/2011,SO44090,417,220,2,20.187,40.373
213,3/19/2011,3/1/2011,SO44100,293,296,2,714.704,1429.409
214,3/14/2011,3/1/2011,SO44105,453,219,2,5.7,11.4
215,3/17/2011,3/1/2011,SO44111,460,235,2,28.84,57.681
216,3/16/2011,3/1/2011,SO44113,187,220,2,20.187,40.373
217,3/15/2011,3/1/2011,SO44127,608,232,2,28.84,57.681
218,4/21/2011,3/31/2011,SO44300,480,232,2,28.84,57.681
219,4/13/2011,3/31/2011,SO44305,676,296,2,714.704,1429.409
220,4/14/2011,3/31/2011,SO44316,431,223,2,5.187,10.373
221,5/20/2011,5/1/2011,SO44488,206,232,2,28.84,57.681
222,5/18/2011,5/1/2011,SO44517,527,235,2,28.84,57.681
223,6/15/2011,5/31/2011,SO44744,173,232,2,28.84,57.681
224,6/15/2011,5/31/2011,SO44774,588,223,2,5.187,10.373
225,6/7/2011,5/31/2011,SO44787,75,296,2,714.704,1429.409
226,8/14/2011,8/1/2011,SO45270,206,232,2,28.84,57.681
227,8/21/2011,8/1/2011,SO45308,623,304,2,714.704,1429.409
228,8/19/2011,8/1/2011,SO45330,63,218,2,5.7,11.4
229,9/13/2011,8/29/2011,SO45542,293,232,2,28.84,57.681
230,9/15/2011,8/29/2011,SO45555,366,223,2,5.187,10.373
231,9/6/2011,8/29/2011,SO45565,75,218,2,5.7,11.4
232,9/18/2011,8/29/2011,SO45571,608,293,2,722.595,1445.19
233,9/10/2011,8/29/2011,SO45576,279,220,2,20.187,40.373
234,10/16/2011,9/29/2011,SO45795,670,223,2,5.187,10.373
235,11/14/2011,10/29/2011,SO46028,206,235,2,28.84,57.681
236,11/9/2011,10/29/2011,SO46082,312,220,2,20.187,40.373
237,12/8/2011,11/29/2011,SO46341,93,223,2,5.187,10.373
238,12/7/2011,11/29/2011,SO46366,674,232,2,28.84,57.681
239,12/20/2011,11/29/2011,SO46374,75,235,2,28.84,57.681
240,12/19/2011,11/29/2011,SO46380,608,229,2,28.84,57.681
241,1/5/2012,12/29/2011,SO46605,622,213,2,16.822,33.644
242,1/7/2012,12/29/2011,SO46608,442,445,2,35.994,71.988
243,1/10/2012,12/29/2011,SO46630,530,468,2,22.794,45.588
244,1/19/2012,12/29/2011,SO46638,203,387,2,600.263,1200.525
245,1/11/2012,12/29/2011,SO46647,506,308,2,744.273,1488.545
246,1/19/2012,12/29/2011,SO46649,380,224,2,5.187,10.373
247,1/17/2012,12/29/2011,SO46666,234,447,2,15,30
248,1/15/2012,12/29/2011,SO46668,221,460,2,53.994,107.988
249,1/16/2012,12/29/2011,SO46671,523,439,2,780.818,1561.636
250,2/10/2012,1/29/2012,SO46966,43,308,2,744.273,1488.545
251,2/16/2012,1/29/2012,SO46972,650,394,2,20.52,41.04
252,2/5/2012,1/29/2012,SO46984,677,469,2,22.794,45.588
253,2/18/2012,1/29/2012,SO47012,66,457,2,44.994,89.988
254,2/8/2012,1/29/2012,SO47018,167,456,2,44.994,89.988
255,2/11/2012,1/29/2012,SO47018,167,387,2,600.263,1200.525
256,2/8/2012,1/29/2012,SO47034,257,459,2,53.994,107.988
257,2/5/2012,1/29/2012,SO47041,79,341,2,469.794,939.588
258,2/5/2012,1/29/2012,SO47065,546,297,2,736.146,1472.291
259,3/12/2012,2/29/2012,SO47352,149,233,2,28.84,57.681
260,3/10/2012,2/29/2012,SO47355,24,331,2,469.794,939.588
261,3/7/2012,2/29/2012,SO47374,23,456,2,44.994,89.988
262,3/10/2012,2/29/2012,SO47385,379,242,2,780.818,1561.636
263,3/21/2012,2/29/2012,SO47394,197,221,2,20.187,40.373
264,3/8/2012,2/29/2012,SO47398,461,387,2,600.263,1200.525
265,3/21/2012,2/29/2012,SO47415,262,456,2,44.994,89.988
266,3/7/2012,2/29/2012,SO47416,90,461,2,53.994,107.988
267,3/17/2012,2/29/2012,SO47435,75,468,2,22.794,45.588
268,4/10/2012,3/30/2012,SO47687,203,464,2,14.129,28.258
269,4/17/2012,3/30/2012,SO47715,292,456,2,44.994,89.988
270,4/20/2012,3/30/2012,SO47716,660,385,2,600.263,1200.525
271,5/20/2012,4/30/2012,SO48018,512,341,2,469.794,939.588
272,5/13/2012,4/30/2012,SO48066,385,448,2,11.994,23.988
273,5/16/2012,4/30/2012,SO48089,546,453,2,35.994,71.988
274,5/15/2012,4/30/2012,SO48090,135,224,2,5.187,10.373
275,6/13/2012,5/30/2012,SO48321,497,230,2,28.84,57.681
276,6/8/2012,5/30/2012,SO48339,461,236,2,28.84,57.681
277,6/16/2012,5/30/2012,SO48363,130,454,2,35.994,71.988
278,7/16/2012,6/30/2012,SO48735,670,216,2,20.187,40.373
279,8/7/2012,7/31/2012,SO49101,487,236,2,28.84,57.681
280,8/21/2012,7/31/2012,SO49104,97,385,2,600.263,1200.525
281,8/15/2012,7/31/2012,SO49116,527,387,2,600.263,1200.525
282,8/12/2012,7/31/2012,SO49127,436,460,2,53.994,107.988
283,9/7/2012,8/28/2012,SO49479,72,233,2,28.84,57.681
284,9/9/2012,8/28/2012,SO49496,461,369,2,1466.01,2932.02
285,9/18/2012,8/28/2012,SO49519,424,221,2,20.187,40.373
286,10/15/2012,9/28/2012,SO49828,514,466,2,14.129,28.258
287,10/7/2012,9/28/2012,SO49828,514,448,2,11.994,23.988
288,10/16/2012,9/28/2012,SO49831,475,445,2,35.994,71.988
289,10/13/2012,9/28/2012,SO49843,594,224,2,5.187,10.373
290,10/19/2012,9/28/2012,SO49855,442,297,2,736.146,1472.291
291,10/5/2012,9/28/2012,SO49870,660,236,2,28.84,57.681
292,11/6/2012,10/28/2012,SO50191,206,389,2,600.263,1200.525
293,11/18/2012,10/28/2012,SO50199,102,389,2,600.263,1200.525
294,11/12/2012,10/28/2012,SO50210,43,459,2,53.994,107.988
295,11/17/2012,10/28/2012,SO50226,78,385,2,600.263,1200.525
296,11/5/2012,10/28/2012,SO50230,62,460,2,53.994,107.988
297,11/8/2012,10/28/2012,SO50259,558,383,2,600.263,1200.525
298,11/7/2012,10/28/2012,SO50269,583,468,2,22.794,45.588
299,11/13/2012,10/28/2012,SO50272,97,233,2,28.84,57.681
300,11/17/2012,10/28/2012,SO50280,233,461,2,53.994,107.988
301,11/10/2012,10/28/2012,SO50294,312,213,2,20.187,40.373
302,12/18/2012,11/28/2012,SO50664,173,337,2,469.794,939.588
303,12/14/2012,11/28/2012,SO50672,239,445,2,35.994,71.988
304,12/11/2012,11/28/2012,SO50682,197,297,2,736.146,1472.291
305,12/18/2012,11/28/2012,SO50689,461,331,2,469.794,939.588
306,12/18/2012,11/28/2012,SO50720,490,360,2,1229.459,2458.918
307,12/7/2012,11/28/2012,SO50726,170,341,2,469.794,939.588
308,12/18/2012,11/28/2012,SO50738,130,453,2,35.994,71.988
309,1/11/2013,12/28/2012,SO51081,676,593,2,338.994,677.988
310,1/7/2013,12/28/2012,SO51088,125,298,2,809.76,1619.52
311,1/18/2013,12/28/2012,SO51102,437,475,2,41.994,83.988
312,1/11/2013,12/28/2012,SO51121,491,240,2,858.9,1717.8
313,1/15/2013,12/28/2012,SO51157,414,295,2,818.7,1637.4
314,1/15/2013,12/28/2012,SO51160,496,591,2,338.994,677.988
315,1/14/2013,12/28/2012,SO51160,496,467,2,14.694,29.388
316,2/17/2013,1/28/2013,SO51715,43,475,2,41.994,83.988
317,2/8/2013,1/28/2013,SO51716,363,575,2,1430.442,2860.884
318,2/15/2013,1/28/2013,SO51748,233,355,2,1391.994,2783.988
319,2/6/2013,1/28/2013,SO51784,558,243,2,858.9,1717.8
320,2/5/2013,1/28/2013,SO51795,77,231,2,29.994,59.988
321,2/5/2013,1/28/2013,SO51825,345,595,2,338.994,677.988
322,2/15/2013,1/28/2013,SO51827,131,576,2,1430.442,2860.884
323,2/17/2013,1/28/2013,SO51828,79,234,2,29.994,59.988
324,2/17/2013,1/28/2013,SO51833,385,309,2,818.7,1637.4
325,2/8/2013,1/28/2013,SO51842,257,376,2,1466.01,2932.02
326,2/12/2013,1/28/2013,SO51850,263,472,2,38.1,76.2
327,3/20/2013,2/28/2013,SO53454,149,592,2,338.994,677.988
328,3/18/2013,2/28/2013,SO53480,327,484,2,4.77,9.54
329,3/17/2013,2/28/2013,SO53509,156,471,2,38.1,76.2
330,3/10/2013,2/28/2013,SO53510,685,355,2,1391.994,2783.988
331,3/18/2013,2/28/2013,SO53536,118,593,2,338.994,677.988
332,3/17/2013,2/28/2013,SO53542,613,544,2,48.594,97.188
333,3/7/2013,2/28/2013,SO53550,649,605,2,323.994,647.988
334,3/19/2013,2/28/2013,SO53567,179,575,2,1430.442,2860.884
335,3/20/2013,2/28/2013,SO53583,75,593,2,338.994,677.988
336,3/19/2013,2/28/2013,SO53606,61,475,2,41.994,83.988
337,4/10/2013,3/30/2013,SO55253,530,231,2,29.994,59.988
338,4/12/2013,3/30/2013,SO55264,491,472,2,38.1,76.2
339,4/19/2013,3/30/2013,SO55277,506,475,2,41.994,83.988
340,4/8/2013,3/30/2013,SO55283,442,355,2,1391.994,2783.988
341,4/20/2013,3/30/2013,SO55297,496,490,2,32.394,64.788
342,4/9/2013,3/30/2013,SO55324,523,606,2,323.994,647.988
343,5/16/2013,4/30/2013,SO57027,441,491,2,32.394,64.788
344,5/13/2013,4/30/2013,SO57037,381,309,2,818.7,1637.4
345,5/8/2013,4/30/2013,SO57039,207,483,2,72,144
346,5/13/2013,4/30/2013,SO57076,684,583,2,1020.594,2041.188
347,5/15/2013,4/30/2013,SO57091,378,290,2,818.7,1637.4
348,5/15/2013,4/30/2013,SO57097,552,580,2,1020.594,2041.188
349,5/17/2013,4/30/2013,SO57126,45,376,2,1466.01,2932.02
350,5/17/2013,4/30/2013,SO57129,323,593,2,338.994,677.988
351,5/11/2013,4/30/2013,SO57141,666,240,2,858.9,1717.8
352,5/19/2013,4/30/2013,SO57157,257,580,2,1020.594,2041.188
353,6/20/2013,5/30/2013,SO58911,173,581,2,1020.594,2041.188
354,6/8/2013,5/30/2013,SO58918,678,487,2,32.994,65.988
355,6/18/2013,5/30/2013,SO58972,10,491,2,32.394,64.788
356,6/16/2013,5/30/2013,SO58995,624,376,2,1466.01,2932.02
357,6/11/2013,5/30/2013,SO59027,21,491,2,32.394,64.788
358,6/6/2013,5/30/2013,SO59029,648,544,2,48.594,97.188
359,6/12/2013,5/30/2013,SO59037,262,225,2,5.394,10.788
360,6/6/2013,5/30/2013,SO59074,54,440,2,858.9,1717.8
361,6/16/2013,5/30/2013,SO59075,179,488,2,32.394,64.788
362,7/18/2013,6/30/2013,SO61181,125,595,2,338.994,677.988
363,7/10/2013,6/30/2013,SO61210,523,487,2,32.994,65.988
364,7/9/2013,6/30/2013,SO61222,119,475,2,41.994,83.988
365,7/16/2013,6/30/2013,SO61224,618,483,2,72,144
366,7/15/2013,6/30/2013,SO61243,221,606,2,323.994,647.988
367,7/20/2013,6/30/2013,SO61243,221,472,2,38.1,76.2
368,7/11/2013,6/30/2013,SO61248,496,295,2,818.7,1637.4
369,8/15/2013,7/31/2013,SO63123,18,476,2,41.994,83.988
370,8/16/2013,7/31/2013,SO63136,552,581,2,1020.594,2041.188
371,8/14/2013,7/31/2013,SO63146,259,606,2,323.994,647.988
372,8/10/2013,7/31/2013,SO63240,131,573,2,1430.442,2860.884
373,8/8/2013,7/31/2013,SO63268,541,357,2,1391.994,2783.988
374,8/14/2013,7/31/2013,SO63280,435,476,2,41.994,83.988
375,9/18/2013,8/29/2013,SO65168,509,575,2,1430.442,2860.884
376,9/5/2013,8/29/2013,SO65232,490,298,2,809.76,1619.52
377,9/19/2013,8/29/2013,SO65236,54,477,2,2.994,5.988
378,9/17/2013,8/29/2013,SO65309,543,476,2,41.994,83.988
379,10/20/2013,9/29/2013,SO67262,622,605,2,323.994,647.988
380,10/15/2013,9/29/2013,SO67272,119,595,2,338.994,677.988
381,10/11/2013,9/29/2013,SO67274,437,475,2,41.994,83.988
382,11/16/2013,10/29/2013,SO69396,210,477,2,2.994,5.988
383,11/15/2013,10/29/2013,SO69400,101,481,2,5.394,10.788
384,11/6/2013,10/29/2013,SO69422,650,290,2,818.7,1637.4
385,11/14/2013,10/29/2013,SO69442,233,355,2,1391.994,2783.988
386,11/19/2013,10/29/2013,SO69479,552,481,2,5.394,10.788
387,11/15/2013,10/29/2013,SO69501,345,309,2,818.7,1637.4
388,11/17/2013,10/29/2013,SO69505,385,298,2,809.76,1619.52
389,11/11/2013,10/29/2013,SO69510,422,491,2,32.394,64.788
390,11/16/2013,10/29/2013,SO69536,435,544,2,48.594,97.188
391,12/18/2013,11/29/2013,SO71779,149,471,2,38.1,76.2
