SalesDetailsKey,SalesHeaderKey,SalesOrderNumber,ProductKey,ProductSubcategoryKey,OrderQuantity,UnitPrice,ExtendedAmount,OrderDate,DueDate,ShipDate,CustomerKey,RegionKey,DiscountAmount,TotalAmount,SalesAmount
20,1002,SO43661,235,7,2,28.8404,57.6808,12/29/2010,1/10/2011,5/1/2011,442,6,1249.76,32726.48,31476.72
21,1002,SO43661,292,12,2,818.7,1637.4,12/29/2010,1/10/2011,5/1/2011,442,6,1249.76,32726.48,31476.72
22,1002,SO43661,304,12,2,714.7043,1429.4086,12/29/2010,1/10/2011,5/1/2011,442,6,1249.76,32726.48,31476.72
23,1002,SO43661,293,12,2,722.5949,1445.1898,12/29/2010,1/10/2011,5/1/2011,442,6,1249.76,32726.48,31476.72
24,1002,SO43661,346,17,2,2039.994,4079.988,12/29/2010,1/10/2011,5/1/2011,442,6,1249.76,32726.48,31476.72
25,1002,SO43661,350,17,2,2024.994,4049.988,12/29/2010,1/10/2011,5/1/2011,442,6,1249.76,32726.48,31476.72
26,1002,SO43661,351,17,2,2024.994,4049.988,12/29/2010,1/10/2011,5/1/2011,442,6,1249.76,32726.48,31476.72
27,1002,SO43661,348,17,3,2024.994,6074.982,12/29/2010,1/10/2011,5/1/2011,442,6,1249.76,32726.48,31476.72
28,1002,SO43661,223,10,4,5.1865,20.746,12/29/2010,1/10/2011,5/1/2011,442,6,1249.76,32726.48,31476.72
29,1002,SO43661,349,17,4,2024.994,8099.976,12/29/2010,1/10/2011,5/1/2011,442,6,1249.76,32726.48,31476.72
1267,22,SO44090,220,18,2,20.1865,40.373,3/1/2011,3/13/2011,8/3/2011,417,4,294.64,6654.7,6360.06
1268,22,SO44090,262,3,2,183.9382,367.8764,3/1/2011,3/13/2011,8/3/2011,417,4,294.64,6654.7,6360.06
1269,22,SO44090,319,17,2,874.794,1749.588,3/1/2011,3/13/2011,8/3/2011,417,4,294.64,6654.7,6360.06
1270,22,SO44090,229,7,3,28.8404,86.5212,3/1/2011,3/13/2011,8/3/2011,417,4,294.64,6654.7,6360.06
1271,22,SO44090,235,7,3,28.8404,86.5212,3/1/2011,3/13/2011,8/3/2011,417,4,294.64,6654.7,6360.06
1272,22,SO44090,326,13,4,419.4589,1677.8356,3/1/2011,3/13/2011,8/3/2011,417,4,294.64,6654.7,6360.06
1273,22,SO44090,232,7,7,28.8404,201.8828,3/1/2011,3/13/2011,8/3/2011,417,4,294.64,6654.7,6360.06
1274,22,SO44090,315,17,2,874.794,1749.588,3/1/2011,3/13/2011,8/3/2011,417,4,294.64,6654.7,6360.06
1275,22,SO44090,324,13,1,419.4589,419.4589,3/1/2011,3/13/2011,8/3/2011,417,4,294.64,6654.7,6360.06
1276,22,SO44090,270,3,1,183.9382,183.9382,3/1/2011,3/13/2011,8/3/2011,417,4,294.64,6654.7,6360.06
1277,22,SO44090,223,10,2,5.1865,10.373,3/1/2011,3/13/2011,8/3/2011,417,4,294.64,6654.7,6360.06
1278,22,SO44090,215,18,2,20.1865,40.373,3/1/2011,3/13/2011,8/3/2011,417,4,294.64,6654.7,6360.06
1279,22,SO44090,212,18,2,20.1865,40.373,3/1/2011,3/13/2011,8/3/2011,417,4,294.64,6654.7,6360.06
30,1107,SO43662,330,13,3,419.4589,1258.3767,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
31,1107,SO43662,317,17,1,874.794,874.794,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
32,1107,SO43662,314,17,1,2146.962,2146.962,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
33,1107,SO43662,310,17,1,2146.962,2146.962,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
34,1107,SO43662,275,3,1,356.898,356.898,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
35,1107,SO43662,276,3,1,356.898,356.898,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
36,1107,SO43662,285,4,1,178.5808,178.5808,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
37,1107,SO43662,264,3,1,183.9382,183.9382,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
38,1107,SO43662,270,3,1,183.9382,183.9382,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
39,1107,SO43662,272,3,2,183.9382,367.8764,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
40,1107,SO43662,338,15,2,419.4589,838.9178,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
41,1107,SO43662,316,17,1,874.794,874.794,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
42,1107,SO43662,332,15,3,419.4589,1258.3767,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
43,1107,SO43662,328,15,3,419.4589,1258.3767,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
44,1107,SO43662,322,13,3,419.4589,1258.3767,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
45,1107,SO43662,334,15,3,419.4589,1258.3767,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
46,1107,SO43662,253,3,3,178.5808,535.7424,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
47,1107,SO43662,262,3,3,183.9382,551.8146,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
48,1107,SO43662,315,17,4,874.794,3499.176,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
49,1107,SO43662,342,17,5,419.4589,2097.2945,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
50,1107,SO43662,326,13,5,419.4589,2097.2945,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
51,1107,SO43662,319,17,6,874.794,5248.764,12/29/2010,1/10/2011,5/1/2011,227,6,572.82,28832.53,28259.71
52,643,SO43663,322,13,1,419.4589,419.4589,12/29/2010,1/10/2011,5/1/2011,510,4,5.5,419.46,413.96
53,1770,SO43664,350,17,2,2024.994,4049.988,12/29/2010,1/10/2011,5/1/2011,397,1,380.64,24432.61,24051.97
54,1770,SO43664,345,17,1,2039.994,2039.994,12/29/2010,1/10/2011,5/1/2011,397,1,380.64,24432.61,24051.97
55,1770,SO43664,346,17,1,2039.994,2039.994,12/29/2010,1/10/2011,5/1/2011,397,1,380.64,24432.61,24051.97
56,1770,SO43664,351,17,1,2024.994,2024.994,12/29/2010,1/10/2011,5/1/2011,397,1,380.64,24432.61,24051.97
57,1770,SO43664,229,7,1,28.8404,28.8404,12/29/2010,1/10/2011,5/1/2011,397,1,380.64,24432.61,24051.97
58,1770,SO43664,235,7,1,28.8404,28.8404,12/29/2010,1/10/2011,5/1/2011,397,1,380.64,24432.61,24051.97
59,1770,SO43664,344,17,3,2039.994,6119.982,12/29/2010,1/10/2011,5/1/2011,397,1,380.64,24432.61,24051.97
60,1770,SO43664,348,17,4,2024.994,8099.976,12/29/2010,1/10/2011,5/1/2011,397,1,380.64,24432.61,24051.97
2398,55,SO44500,326,13,2,419.4589,838.9178,5/1/2011,5/13/2011,8/5/2011,259,4,149.84,4710.94,4561.1
2399,55,SO44500,328,15,1,419.4589,419.4589,5/1/2011,5/13/2011,8/5/2011,259,4,149.84,4710.94,4561.1
2400,55,SO44500,223,10,2,5.1865,10.373,5/1/2011,5/13/2011,8/5/2011,259,4,149.84,4710.94,4561.1
2401,55,SO44500,232,7,3,28.8404,86.5212,5/1/2011,5/13/2011,8/5/2011,259,4,149.84,4710.94,4561.1
2402,55,SO44500,322,13,4,419.4589,1677.8356,5/1/2011,5/13/2011,8/5/2011,259,4,149.84,4710.94,4561.1
2403,55,SO44500,324,13,4,419.4589,1677.8356,5/1/2011,5/13/2011,8/5/2011,259,4,149.84,4710.94,4561.1
1513,56,SO44115,350,17,2,2024.994,4049.988,3/1/2011,3/13/2011,8/3/2011,366,4,1238.58,66848.39,65609.81
1514,56,SO44115,223,10,2,5.1865,10.373,3/1/2011,3/13/2011,8/3/2011,366,4,1238.58,66848.39,65609.81
1515,56,SO44115,296,12,1,714.7043,714.7043,3/1/2011,3/13/2011,8/3/2011,366,4,1238.58,66848.39,65609.81
1516,56,SO44115,220,18,2,20.1865,40.373,3/1/2011,3/13/2011,8/3/2011,366,4,1238.58,66848.39,65609.81
1517,56,SO44115,235,7,2,28.8404,57.6808,3/1/2011,3/13/2011,8/3/2011,366,4,1238.58,66848.39,65609.81
1518,56,SO44115,229,7,2,28.8404,57.6808,3/1/2011,3/13/2011,8/3/2011,366,4,1238.58,66848.39,65609.81
1519,56,SO44115,304,12,1,714.7043,714.7043,3/1/2011,3/13/2011,8/3/2011,366,4,1238.58,66848.39,65609.81
1520,56,SO44115,292,12,2,818.7,1637.4,3/1/2011,3/13/2011,8/3/2011,366,4,1238.58,66848.39,65609.81
1521,56,SO44115,300,12,2,809.76,1619.52,3/1/2011,3/13/2011,8/3/2011,366,4,1238.58,66848.39,65609.81
1522,56,SO44115,307,12,1,722.5949,722.5949,3/1/2011,3/13/2011,8/3/2011,366,4,1238.58,66848.39,65609.81
1523,56,SO44115,344,17,2,2039.994,4079.988,3/1/2011,3/13/2011,8/3/2011,366,4,1238.58,66848.39,65609.81
1524,56,SO44115,346,17,2,2039.994,4079.988,3/1/2011,3/13/2011,8/3/2011,366,4,1238.58,66848.39,65609.81
1525,56,SO44115,215,18,1,20.1865,20.1865,3/1/2011,3/13/2011,8/3/2011,366,4,1238.58,66848.39,65609.81
1526,56,SO44115,348,17,3,2024.994,6074.982,3/1/2011,3/13/2011,8/3/2011,366,4,1238.58,66848.39,65609.81
1527,56,SO44115,293,12,3,722.5949,2167.7847,3/1/2011,3/13/2011,8/3/2011,366,4,1238.58,66848.39,65609.81
1528,56,SO44115,212,18,3,20.1865,60.5595,3/1/2011,3/13/2011,8/3/2011,366,4,1238.58,66848.39,65609.81
1529,56,SO44115,351,17,4,2024.994,8099.976,3/1/2011,3/13/2011,8/3/2011,366,4,1238.58,66848.39,65609.81
1530,56,SO44115,347,17,7,2039.994,14279.958,3/1/2011,3/13/2011,8/3/2011,366,4,1238.58,66848.39,65609.81
1531,56,SO44115,345,17,9,2039.994,18359.946,3/1/2011,3/13/2011,8/3/2011,366,4,1238.58,66848.39,65609.81
1631,57,SO44127,218,9,5,5.7,28.5,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1632,57,SO44127,215,18,1,20.1865,20.1865,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1633,57,SO44127,235,7,1,28.8404,28.8404,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1634,57,SO44127,220,18,2,20.1865,40.373,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1635,57,SO44127,229,7,2,28.8404,57.6808,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1636,57,SO44127,232,7,2,28.8404,57.6808,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1637,57,SO44127,300,12,2,809.76,1619.52,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1638,57,SO44127,304,12,2,714.7043,1429.4086,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1639,57,SO44127,347,17,2,2039.994,4079.988,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1640,57,SO44127,351,17,3,2024.994,6074.982,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1641,57,SO44127,296,12,3,714.7043,2144.1129,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1642,57,SO44127,223,10,3,5.1865,15.5595,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1643,57,SO44127,292,12,4,818.7,3274.8,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1644,57,SO44127,345,17,5,2039.994,10199.97,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1645,57,SO44127,344,17,5,2039.994,10199.97,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1646,57,SO44127,349,17,5,2024.994,10124.97,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1647,57,SO44127,212,18,1,20.1865,20.1865,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1648,57,SO44127,293,12,6,722.5949,4335.5694,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1649,57,SO44127,350,17,6,2024.994,12149.964,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1650,57,SO44127,348,17,6,2024.994,12149.964,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1651,57,SO44127,346,17,6,2039.994,12239.964,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
1652,57,SO44127,307,12,1,722.5949,722.5949,3/1/2011,3/13/2011,8/3/2011,608,4,3005.68,91014.79,88009.11
61,1666,SO43665,348,17,2,2024.994,4049.988,12/29/2010,1/10/2011,5/1/2011,146,1,414.92,14352.77,13937.85
62,1666,SO43665,351,17,1,2024.994,2024.994,12/29/2010,1/10/2011,5/1/2011,146,1,414.92,14352.77,13937.85
63,1666,SO43665,349,17,1,2024.994,2024.994,12/29/2010,1/10/2011,5/1/2011,146,1,414.92,14352.77,13937.85
64,1666,SO43665,212,18,1,20.1865,20.1865,12/29/2010,1/10/2011,5/1/2011,146,1,414.92,14352.77,13937.85
65,1666,SO43665,223,10,2,5.1865,10.373,12/29/2010,1/10/2011,5/1/2011,146,1,414.92,14352.77,13937.85
66,1666,SO43665,220,18,2,20.1865,40.373,12/29/2010,1/10/2011,5/1/2011,146,1,414.92,14352.77,13937.85
67,1666,SO43665,232,7,2,28.8404,57.6808,12/29/2010,1/10/2011,5/1/2011,146,1,414.92,14352.77,13937.85
68,1666,SO43665,350,17,2,2024.994,4049.988,12/29/2010,1/10/2011,5/1/2011,146,1,414.92,14352.77,13937.85
69,1666,SO43665,346,17,1,2039.994,2039.994,12/29/2010,1/10/2011,5/1/2011,146,1,414.92,14352.77,13937.85
70,1666,SO43665,218,9,6,5.7,34.2,12/29/2010,1/10/2011,5/1/2011,146,1,414.92,14352.77,13937.85
2171,68,SO44315,319,17,1,874.794,874.794,3/31/2011,4/12/2011,7/4/2011,292,4,37.08,2597.03,2559.95
2172,68,SO44315,232,7,1,28.8404,28.8404,3/31/2011,4/12/2011,7/4/2011,292,4,37.08,2597.03,2559.95
2173,68,SO44315,328,15,2,419.4589,838.9178,3/31/2011,4/12/2011,7/4/2011,292,4,37.08,2597.03,2559.95
2174,68,SO44315,322,13,2,419.4589,838.9178,3/31/2011,4/12/2011,7/4/2011,292,4,37.08,2597.03,2559.95
2175,68,SO44315,223,10,3,5.1865,15.5595,3/31/2011,4/12/2011,7/4/2011,292,4,37.08,2597.03,2559.95
3550,70,SO44756,328,15,6,419.4589,2516.7534,5/31/2011,6/12/2011,7/6/2011,93,4,490.1,14008.61,13518.51
3551,70,SO44756,316,17,1,874.794,874.794,5/31/2011,6/12/2011,7/6/2011,93,4,490.1,14008.61,13518.51
3552,70,SO44756,317,17,1,874.794,874.794,5/31/2011,6/12/2011,7/6/2011,93,4,490.1,14008.61,13518.51
3553,70,SO44756,310,17,1,2146.962,2146.962,5/31/2011,6/12/2011,7/6/2011,93,4,490.1,14008.61,13518.51
3554,70,SO44756,276,3,1,356.898,356.898,5/31/2011,6/12/2011,7/6/2011,93,4,490.1,14008.61,13518.51
3555,70,SO44756,212,18,1,20.1865,20.1865,5/31/2011,6/12/2011,7/6/2011,93,4,490.1,14008.61,13518.51
3556,70,SO44756,215,18,1,20.1865,20.1865,5/31/2011,6/12/2011,7/6/2011,93,4,490.1,14008.61,13518.51
3557,70,SO44756,235,7,1,28.8404,28.8404,5/31/2011,6/12/2011,7/6/2011,93,4,490.1,14008.61,13518.51
3558,70,SO44756,229,7,2,28.8404,57.6808,5/31/2011,6/12/2011,7/6/2011,93,4,490.1,14008.61,13518.51
3559,70,SO44756,232,7,2,28.8404,57.6808,5/31/2011,6/12/2011,7/6/2011,93,4,490.1,14008.61,13518.51
3560,70,SO44756,270,3,2,183.9382,367.8764,5/31/2011,6/12/2011,7/6/2011,93,4,490.1,14008.61,13518.51
3561,70,SO44756,315,17,2,874.794,1749.588,5/31/2011,6/12/2011,7/6/2011,93,4,490.1,14008.61,13518.51
3562,70,SO44756,342,17,3,419.4589,1258.3767,5/31/2011,6/12/2011,7/6/2011,93,4,490.1,14008.61,13518.51
3563,70,SO44756,262,3,3,183.9382,551.8146,5/31/2011,6/12/2011,7/6/2011,93,4,490.1,14008.61,13518.51
3564,70,SO44756,223,10,4,5.1865,20.746,5/31/2011,6/12/2011,7/6/2011,93,4,490.1,14008.61,13518.51
3565,70,SO44756,275,3,4,356.898,1427.592,5/31/2011,6/12/2011,7/6/2011,93,4,490.1,14008.61,13518.51
3566,70,SO44756,322,13,4,419.4589,1677.8356,5/31/2011,6/12/2011,7/6/2011,93,4,490.1,14008.61,13518.51
71,597,SO43666,338,15,2,419.4589,838.9178,12/29/2010,1/10/2011,5/1/2011,511,4,199.52,5056.49,4856.97
72,597,SO43666,330,13,1,419.4589,419.4589,12/29/2010,1/10/2011,5/1/2011,511,4,199.52,5056.49,4856.97
73,597,SO43666,334,15,1,419.4589,419.4589,12/29/2010,1/10/2011,5/1/2011,511,4,199.52,5056.49,4856.97
74,597,SO43666,317,17,1,874.794,874.794,12/29/2010,1/10/2011,5/1/2011,511,4,199.52,5056.49,4856.97
75,597,SO43666,314,17,1,2146.962,2146.962,12/29/2010,1/10/2011,5/1/2011,511,4,199.52,5056.49,4856.97
76,597,SO43666,275,3,1,356.898,356.898,12/29/2010,1/10/2011,5/1/2011,511,4,199.52,5056.49,4856.97
3131,73,SO44557,272,3,1,183.9382,183.9382,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
3132,73,SO44557,330,13,1,419.4589,419.4589,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
3133,73,SO44557,334,15,1,419.4589,419.4589,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
3134,73,SO44557,340,15,1,419.4589,419.4589,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
3135,73,SO44557,315,17,1,874.794,874.794,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
3136,73,SO44557,317,17,1,874.794,874.794,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
3137,73,SO44557,342,17,1,419.4589,419.4589,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
3138,73,SO44557,319,17,1,874.794,874.794,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
3139,73,SO44557,311,17,1,2146.962,2146.962,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
3140,73,SO44557,313,17,1,2146.962,2146.962,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
3141,73,SO44557,253,3,1,178.5808,178.5808,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
3142,73,SO44557,332,15,1,419.4589,419.4589,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
3143,73,SO44557,270,3,1,183.9382,183.9382,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
3144,73,SO44557,312,17,2,2146.962,4293.924,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
3145,73,SO44557,316,17,2,874.794,1749.588,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
3146,73,SO44557,318,17,2,874.794,1749.588,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
3147,73,SO44557,336,15,2,419.4589,838.9178,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
3148,73,SO44557,310,17,3,2146.962,6440.886,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
3149,73,SO44557,326,13,3,419.4589,1258.3767,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
3150,73,SO44557,262,3,3,183.9382,551.8146,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
3151,73,SO44557,322,13,4,419.4589,1677.8356,5/1/2011,5/13/2011,8/5/2011,255,4,853.74,28122.99,27269.25
2524,76,SO44509,285,4,3,178.5808,535.7424,5/1/2011,5/13/2011,8/5/2011,328,4,1201.1,43615.42,42414.32
2525,76,SO44509,262,3,3,183.9382,551.8146,5/1/2011,5/13/2011,8/5/2011,328,4,1201.1,43615.42,42414.32
2526,76,SO44509,212,18,3,20.1865,60.5595,5/1/2011,5/13/2011,8/5/2011,328,4,1201.1,43615.42,42414.32
2527,76,SO44509,215,18,3,20.1865,60.5595,5/1/2011,5/13/2011,8/5/2011,328,4,1201.1,43615.42,42414.32
2528,76,SO44509,253,3,4,178.5808,714.3232,5/1/2011,5/13/2011,8/5/2011,328,4,1201.1,43615.42,42414.32
2529,76,SO44509,272,3,4,183.9382,735.7528,5/1/2011,5/13/2011,8/5/2011,328,4,1201.1,43615.42,42414.32
2530,76,SO44509,340,15,4,419.4589,1677.8356,5/1/2011,5/13/2011,8/5/2011,328,4,1201.1,43615.42,42414.32
2531,76,SO44509,328,15,4,419.4589,1677.8356,5/1/2011,5/13/2011,8/5/2011,328,4,1201.1,43615.42,42414.32
2532,76,SO44509,320,13,5,419.4589,2097.2945,5/1/2011,5/13/2011,8/5/2011,328,4,1201.1,43615.42,42414.32
2533,76,SO44509,232,7,5,28.8404,144.202,5/1/2011,5/13/2011,8/5/2011,328,4,1201.1,43615.42,42414.32
2534,76,SO44509,275,3,5,356.898,1784.49,5/1/2011,5/13/2011,8/5/2011,328,4,1201.1,43615.42,42414.32
2535,76,SO44509,220,18,6,20.1865,121.119,5/1/2011,5/13/2011,8/5/2011,328,4,1201.1,43615.42,42414.32
2536,76,SO44509,330,13,6,419.4589,2516.7534,5/1/2011,5/13/2011,8/5/2011,328,4,1201.1,43615.42,42414.32
2537,76,SO44509,223,10,8,5.1865,41.492,5/1/2011,5/13/2011,8/5/2011,328,4,1201.1,43615.42,42414.32
2538,76,SO44509,235,7,9,28.8404,259.5636,5/1/2011,5/13/2011,8/5/2011,328,4,1201.1,43615.42,42414.32
2539,76,SO44509,318,17,3,874.794,2624.382,5/1/2011,5/13/2011,8/5/2011,328,4,1201.1,43615.42,42414.32
2540,76,SO44509,338,15,1,419.4589,419.4589,5/1/2011,5/13/2011,8/5/2011,328,4,1201.1,43615.42,42414.32
